dataset,dataset_role,model,checkpoint,run_id,perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
SSV2,motion-oriented,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ssv2-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,color_transform,color-mid,appearance,curve,mid,0.0020139601547271013,0.0016649961471557617,0.0019443394849076867,0.0020792970899492502,0.33933332562446594,0.3386666774749756,0.0006666666595265269,-0.006666666828095913,0.0073500159196555614,0.009999999776482582,0.005333333276212215,0.014666666276752949,5,-0.0013333333333333253,0.12866666666666668
SSV2,motion-oriented,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ssv2-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,color_transform,color-high,appearance,curve,high,0.018532266840338707,0.015332460403442383,0.017895711585879326,0.019137799739837646,0.33933332562446594,0.33399999141693115,0.005333333276212215,-0.0060166665352880955,0.01733333244919777,0.02866666577756405,0.020666666328907013,0.03799999877810478,5,-0.010666666666666658,0.334
SSV2,motion-oriented,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ssv2-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.07613886147737503,0.06990227103233337,0.07420743256807327,0.07813484221696854,0.33933332562446594,0.3386666774749756,0.0006666666595265269,-0.01600000075995922,0.019999999552965164,0.06466666609048843,0.052666667848825455,0.07733333110809326,5,-0.011333333333333334,0.524
UCF101,appearance-rich / context-correlated contrast,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ucf101-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.16136664152145386,0.14540475606918335,0.15680603682994843,0.16617941856384277,0.9940000176429749,0.9480000138282776,0.04600000008940697,0.03533333167433739,0.0573333315551281,0.04866666719317436,0.03799999877810478,0.059333331882953644,5,0.04533333333333334,0.050666666666666665
UCF101,appearance-rich / context-correlated contrast,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ucf101-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,freeze_tail,freeze-tail-low,motion,curve,low,0.028714284300804138,0.02458319067955017,0.02774207480251789,0.02990124747157097,0.9940000176429749,0.9906666874885559,0.0033333334140479565,0.0,0.006666666828095913,0.004000000189989805,0.0013333333190530539,0.007333333138376474,5,0.006666666666666599,0.008666666666666666
UCF101,appearance-rich / context-correlated contrast,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ucf101-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,freeze_tail,freeze-tail-mid,motion,curve,mid,0.0865124836564064,0.08072444796562195,0.08427808433771133,0.08873642235994339,0.9940000176429749,0.984666645526886,0.009333333000540733,0.0033333334140479565,0.015333333052694798,0.01133333332836628,0.006000000052154064,0.01666666753590107,5,0.014000000000000012,0.017333333333333333
UCF101,appearance-rich / context-correlated contrast,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ucf101-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,freeze_tail,freeze-tail-high,motion,curve,high,0.17655333876609802,0.17049762606620789,0.17281050980091095,0.18052035570144653,0.9940000176429749,0.9553333520889282,0.03866666555404663,0.02931666560471058,0.04866666719317436,0.04066666588187218,0.03133333474397659,0.05000000074505806,5,0.05266666666666664,0.056
UCF101,appearance-rich / context-correlated contrast,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ucf101-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,color_transform,color-low,appearance,curve,low,6.029097130522132e-05,3.8295984268188477e-05,5.607799903373234e-05,6.494000263046473e-05,0.9940000176429749,0.9940000176429749,0.0,0.0,0.0,0.0,0.0,0.0,5,-0.0006666666666667043,0.0006666666666666666
UCF101,appearance-rich / context-correlated contrast,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ucf101-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,color_transform,color-mid,appearance,curve,mid,0.0011803412344306707,0.0008968710899353027,0.001127486932091415,0.0012402357533574104,0.9940000176429749,0.9940000176429749,0.0,-0.0020000000949949026,0.0020000000949949026,0.0006666666595265269,0.0,0.0020000000949949026,5,-0.0006666666666667043,0.0006666666666666666
UCF101,appearance-rich / context-correlated contrast,SlowFast R50 8x8,facebookresearch/pytorchvideo:slowfast_r50,ucf101-c50-train100-heldout30-slowfast-r50-8x8-frozen-linear-probe,color_transform,color-high,appearance,curve,high,0.010949130170047283,0.008623123168945312,0.010504492558538914,0.011421854607760906,0.9940000176429749,0.9940000176429749,0.0,-0.0033333334140479565,0.0033333334140479565,0.0020000000949949026,0.0,0.004666666500270367,5,0.0020000000000000018,0.004
